,agent,step,test_id,avg_reward,std_reward
0,,120,-1,-127.68333333333334,49.93879309270054
1,,240,-1,-148.6,75.70605435938836
2,,360,-1,-162.35,89.67772391551128
3,,480,-1,-142.96666666666667,62.50225773699877
4,,600,-1,-131.80833333333334,77.78959825852182
5,,720,-1,-159.64166666666668,124.05723113636796
6,,840,-1,-171.66666666666666,114.356630279529
7,,960,-1,-167.925,101.58642974498777
8,,1080,-1,-144.21666666666667,64.13321855499085
9,,1200,-1,-148.5,66.58603457182294
10,,1320,-1,-142.475,58.99476848275051
11,,1440,-1,-156.16666666666666,70.92088706595698
12,,1560,-1,-139.46666666666667,67.25299662881615
13,,1680,-1,-150.64166666666668,68.18917262944967
14,,1800,-1,-128.98333333333332,55.319674519007144
15,,1920,-1,-142.49166666666667,66.6720825925081
16,,2040,-1,-140.56666666666666,65.62440264278389
17,,2160,-1,-167.2,90.92667375418503
18,,2280,-1,-131.7,74.36190781128019
19,,2400,-1,-120.425,52.41702371367531
20,,2520,-1,-158.70833333333334,75.30354084562617
21,,2640,-1,-140.83333333333334,66.89535775290308
22,,2760,-1,-140.275,85.2365299719942
23,,2880,-1,-131.925,63.926541501424374
24,,3000,-1,-146.69166666666666,68.74382345992176
25,,3120,-1,-120.76666666666667,53.3901884452773
26,,3240,-1,-135.91666666666666,55.34913178080473
27,,3360,-1,-146.475,71.5102513047372
28,,3480,-1,-174.14166666666668,77.81830288491834
29,,3600,-1,-109.075,48.89890293588736
30,,3720,-1,-150.575,69.87949896071093
31,,3840,-1,-151.43333333333334,72.98512786101624
32,,3960,-1,-143.76666666666668,67.17908073864132
33,,4080,-1,-162.89166666666668,92.43906063215678
34,,4200,-1,-153.73333333333332,67.82019528789996
35,,4320,-1,-182.7,113.77350306639943
36,,4440,-1,-126.76666666666667,52.99476913390185
37,,4560,-1,-149.35,67.98316580840681
38,,4680,-1,-166.19166666666666,83.34919474049458
39,,4800,-1,-112.6,50.967211682283214
40,,4920,-1,-143.21666666666667,66.07069235969068
41,,5040,-1,-189.175,123.89953339298741
42,,5160,-1,-137.65,65.02969193632501
43,,5280,-1,-147.30833333333334,64.53910905197114
44,,5400,-1,-144.71666666666667,72.42837649859496
45,,5520,-1,-124.56666666666666,50.48823845433927
46,,5640,-1,-195.04166666666666,121.62444901097075
47,,5760,-1,-167.31666666666666,78.21902830442788
48,,5880,-1,-141.88333333333333,64.24603532947037
49,,6000,-1,-113.3,45.38219180838816
50,,6120,-1,-115.14166666666667,43.96917401872463
51,,6240,-1,-147.65,66.76059840954093
52,,6360,-1,-130.225,50.867714466054004
53,,6480,-1,-150.38333333333333,67.4653223680301
54,,6600,-1,-187.96666666666667,87.04749023122697
55,,6720,-1,-199.03333333333333,125.82659584611761
56,,6840,-1,-153.91666666666666,70.62501720747086
57,,6960,-1,-209.19166666666666,161.24160421726012
58,,7080,-1,-141.55833333333334,70.61359593276323
59,,7200,-1,-145.21666666666667,63.94674650745641
60,,7320,-1,-121.225,44.80242971461853
61,,7440,-1,-120.875,58.319030984748025
62,,7560,-1,-108.025,41.901762592202886
63,,7680,-1,-120.73333333333333,49.38163176278762
64,,7800,-1,-181.03333333333333,118.65741536971983
65,,7920,-1,-192.85,123.8681859881705
66,,8040,-1,-145.25,76.01395157030933
67,,8160,-1,-131.23333333333332,71.9243506903067
68,,8280,-1,-140.16666666666666,67.12802858882587
69,,8400,-1,-119.8,54.904401766464346
70,,8520,-1,-113.89166666666667,45.67362401381738
71,,8640,-1,-114.675,43.771025899941314
72,,8760,-1,-128.475,59.220768105454354
73,,8880,-1,-207.375,116.23625814836494
74,,9000,-1,-125.94166666666666,48.898073553282465
75,,9120,-1,-110.39166666666667,48.46704994690264
76,,9240,-1,-171.175,140.98999151831075
77,,9360,-1,-142.825,64.189129726146
78,,9480,-1,-138.81666666666666,75.01221937494954
79,,9600,-1,-244.425,184.21358357895326
80,,9720,-1,-152.625,90.35855083130392
81,,9840,-1,-175.51666666666668,116.78320251170068
82,,9960,-1,-183.30833333333334,104.35586517883036
83,,10080,-1,-109.88333333333334,46.392740691716945
84,,10200,-1,-156.275,116.42515210068085
85,,10320,-1,-163.70833333333334,83.35270399866396
86,,10440,-1,-145.16666666666666,63.34026277881147
87,,10560,-1,-143.325,70.89313113177232
88,,10680,-1,-175.75833333333333,84.60427450128563
89,,10800,-1,-130.35833333333332,66.85429378298916
90,,10920,-1,-160.26666666666668,134.52086166175945
91,,11040,-1,-141.675,65.34449256313292
92,,11160,-1,-152.875,68.89104471313138
93,,11280,-1,-192.075,125.72530655493878
94,,11400,-1,-112.9,45.71239802650189
95,,11520,-1,-170.425,76.31335209734489
96,,11640,-1,-108.69166666666666,44.612927093936456
97,,11760,-1,-116.26666666666667,48.090320116307076
98,,11880,-1,-138.96666666666667,64.98486148498142
99,,12000,-1,-163.79166666666666,98.57213059762661
100,,12120,-1,-145.69166666666666,71.58256256860946
101,,12240,-1,-148.45,69.39270494799868
102,,12360,-1,-124.98333333333333,56.153655763053884
103,,12480,-1,-142.86666666666667,66.0613267266779
104,,12600,-1,-137.575,67.6585375864224
105,,12720,-1,-109.69166666666666,41.12517392735933
106,,12840,-1,-115.90833333333333,60.63813374345297
107,,12960,-1,-152.30833333333334,64.46727798314083
108,,13080,-1,-157.925,136.00962971422283
109,,13200,-1,-143.74166666666667,70.64164209035788
110,,13320,-1,-144.925,65.50828986980706
111,,13440,-1,-119.63333333333334,47.00619344535592
112,,13560,-1,-138.275,60.45700435019916
113,,13680,-1,-124.14166666666667,58.1006735235392
114,,13800,-1,-162.425,70.00079315026842
115,,13920,-1,-166.36666666666667,84.09666395814337
116,,14040,-1,-117.075,47.399219842384184
117,,14160,-1,-161.56666666666666,73.0897545639758
118,,14280,-1,-180.325,116.32033087556105
119,,14400,-1,-136.0,59.67690787342566
120,,14520,-1,-115.11666666666666,53.793615379109404
121,,14640,-1,-149.175,62.15433244486394
122,,14760,-1,-155.31666666666666,81.06273119559252
123,,14880,-1,-164.60833333333332,84.9615889518447
124,,15000,-1,-135.36666666666667,57.421966373699036
125,,15120,-1,-126.61666666666666,56.40333668222909
126,,15240,-1,-114.4,47.03321521364804
127,,15360,-1,-172.25,82.14197566814829
128,,15480,-1,-234.63333333333333,188.9620302835702
129,,15600,-1,-157.48333333333332,82.97338763456362
130,,15720,-1,-140.01666666666668,62.844249714848395
131,,15840,-1,-146.40833333333333,68.26120125827133
132,,15960,-1,-140.74166666666667,62.34694537202462
133,,16080,-1,-151.54166666666666,64.28658437462326
134,,16200,-1,-127.625,49.9050869985549
135,,16320,-1,-193.95,120.93709452989738
136,,16440,-1,-123.925,48.560642928884974
137,,16560,-1,-144.71666666666667,63.11592288972904
138,,16680,-1,-119.675,64.087851487886
139,,16800,-1,-145.39166666666668,64.16583928037998
140,,16920,-1,-142.19166666666666,64.4504067524446
141,,17040,-1,-147.21666666666667,66.28601955834192
142,,17160,-1,-144.45,71.13857954724708
143,,17280,-1,-179.19166666666666,131.65430084336614
144,,17400,-1,-122.125,47.4184497321454
145,,17520,-1,-170.65,79.09452678072401
146,,17640,-1,-151.45,71.60014548402353
147,,17760,-1,-111.89166666666667,47.221780961990646
148,,17880,-1,-149.01666666666668,92.04256110928007
149,,18000,-1,-138.01666666666668,77.56169408212335
150,,18120,-1,-135.43333333333334,66.3501737417134
151,,18240,-1,-141.675,67.97857045912826
152,,18360,-1,-117.34166666666667,53.028057955723355
153,,18480,-1,-142.43333333333334,65.99693595581203
154,,18600,-1,-188.91666666666666,98.9112888175842
155,,18720,-1,-108.6,42.652745124630215
156,,18840,-1,-170.64166666666668,128.20093576318214
157,,18960,-1,-201.6,111.4524113691579
158,,19080,-1,-151.0,96.77026058316332
159,,19200,-1,-149.64166666666668,64.87151350083401
160,,19320,-1,-112.275,43.410820943631094
161,,19440,-1,-109.725,43.356460975653135
162,,19560,-1,-154.34166666666667,80.93984348816649
163,,19680,-1,-132.775,53.74731970061391
164,,19800,-1,-138.65,63.657501521815945
165,,19920,-1,-123.29166666666667,65.796833236022
166,,20040,-1,-146.5,67.5683604457984
167,,20160,-1,-147.75833333333333,88.48436734185813
168,,20280,-1,-162.80833333333334,81.23148977185852
169,,20400,-1,-140.35,63.84886451613686
170,,20520,-1,-160.53333333333333,72.9639104093402
171,,20640,-1,-176.95833333333334,99.24207741958828
172,,20760,-1,-167.61666666666667,76.79064432309157
173,,20880,-1,-149.15,68.74962424139737
174,,21000,-1,-144.55,69.78178487255825
175,,21120,-1,-160.1,71.47463419516978
176,,21240,-1,-130.175,57.58553963452978
177,,21360,-1,-127.98333333333333,51.33062492855075
